[2025-05-30 14:37:36] Logging initialized. Detector events will be saved to C:\Users\Sumit\Desktop\Task 18 Cheating Detection\Task 18 Cheating Detection\detector_events.log
[2025-05-30 14:37:37] Detector initialized successfully (from initialize_detector call).
[2025-05-30 14:37:42] FPS: 0.2 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.91) | Alerts: None
[2025-05-30 14:37:42] FPS: 0.2 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.91) | Alerts: None
[2025-05-30 14:37:42] FPS: 0.2 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.90) | Alerts: None
[2025-05-30 14:37:43] FPS: 2.9 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.91) | Alerts: None
[2025-05-30 14:37:43] FPS: 2.9 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.90) | Alerts: None
[2025-05-30 14:37:43] FPS: 2.9 | Head: Head Turned | Eyes: Looking at Screen | Objects: person (0.78) | Alerts: None
[2025-05-30 14:37:43] FPS: 2.9 | Head: Head Turned | Eyes: Looking at Screen | Objects: person (0.89) | Alerts: None
[2025-05-30 14:37:44] FPS: 3.3 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.91) | Alerts: None
[2025-05-30 14:37:44] FPS: 3.3 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.90) | Alerts: None
[2025-05-30 14:37:44] FPS: 3.3 | Head: No Face | Eyes: No Face | Objects: person (0.87) | Alerts: None
[2025-05-30 14:37:45] FPS: 3.3 | Head: No Face | Eyes: No Face | Objects: person (0.89) | Alerts: None
[2025-05-30 14:37:45] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.93), chair (0.52) | Alerts: None
[2025-05-30 14:37:45] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.92) | Alerts: None
[2025-05-30 14:37:45] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.91), person (0.61), laptop (0.53), chair (0.47) | Alerts: None
[2025-05-30 14:37:46] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.90), chair (0.64), person (0.62) | Alerts: None
[2025-05-30 14:37:46] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.89), person (0.67), laptop (0.49), chair (0.45) | Alerts: None
[2025-05-30 14:37:46] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.85), laptop (0.59) | Alerts: None
[2025-05-30 14:37:47] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.86), cell phone (0.72) | Alerts: None
[2025-05-30 14:37:47] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.86), cell phone (0.86) | Alerts: None
[2025-05-30 14:37:47] FPS: 3.4 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.87), cell phone (0.80) | Alerts: None
[2025-05-30 14:37:48] FPS: 3.4 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: cell phone (0.89), person (0.88) | Alerts: None
[2025-05-30 14:37:48] FPS: 3.4 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.80), person (0.63) | Alerts: None
[2025-05-30 14:37:48] FPS: 3.4 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: cell phone (0.72), person (0.62), person (0.57), person (0.55) | Alerts: None
[2025-05-30 14:37:49] FPS: 3.0 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.68), person (0.48), person (0.44) | Alerts: None
[2025-05-30 14:37:49] FPS: 3.0 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.77), person (0.75), cell phone (0.52) | Alerts: None
[2025-05-30 14:37:49] FPS: 3.0 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.74) | Alerts: None
[2025-05-30 14:37:49] FPS: 3.0 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.74) | Alerts: None
[2025-05-30 14:37:50] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.75), cell phone (0.56), person (0.45) | Alerts: None
[2025-05-30 14:37:50] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.86) | Alerts: None
[2025-05-30 14:37:50] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.88) | Alerts: None
[2025-05-30 14:37:51] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.87) | Alerts: None
[2025-05-30 14:37:51] FPS: 3.5 | Head: Looking at Screen | Eyes: Eyes Moving | Objects: person (0.90) | Alerts: None
[2025-05-30 14:37:51] FPS: 3.5 | Head: Looking at Screen | Eyes: Eyes Moving | Objects: cell phone (0.94), person (0.88) | Alerts: None
[2025-05-30 14:37:51] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: cell phone (0.90), person (0.89) | Alerts: None
[2025-05-30 14:37:52] FPS: 3.5 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: cell phone (0.95), person (0.86) | Alerts: None
[2025-05-30 14:37:52] FPS: 3.1 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.91) | Alerts: None
[2025-05-30 14:37:53] FPS: 3.1 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: person (0.91), cell phone (0.58) | Alerts: None
[2025-05-30 14:37:53] FPS: 3.1 | Head: Looking at Screen | Eyes: Eyes Moving | Objects: person (0.88) | Alerts: None
[2025-05-30 14:37:53] FPS: 2.3 | Head: Looking at Screen | Eyes: Eyes Moving | Objects: person (0.92) | Alerts: None
[2025-05-30 14:37:54] FPS: 2.3 | Head: Looking at Screen | Eyes: Eyes Moving | Objects: person (0.62), person (0.58) | Alerts: None
[2025-05-30 14:37:54] FPS: 2.3 | Head: Looking at Screen | Eyes: Eyes Moving | Objects: cell phone (0.80), person (0.72), person (0.68), person (0.48) | Alerts: None
[2025-05-30 14:37:54] FPS: 2.3 | Head: Looking at Screen | Eyes: Eyes Moving | Objects: cell phone (0.78), person (0.69), person (0.53), person (0.48) | Alerts: None
[2025-05-30 14:37:55] FPS: 3.4 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: cell phone (0.70), person (0.65), person (0.58), person (0.41) | Alerts: None
[2025-05-30 14:37:55] FPS: 3.4 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: cell phone (0.68), person (0.61), person (0.57), person (0.43) | Alerts: None
[2025-05-30 14:37:55] FPS: 3.4 | Head: Looking at Screen | Eyes: Looking at Screen | Objects: cell phone (0.73), person (0.66), person (0.58), person (0.46) | Alerts: None
[2025-05-30 14:37:56] FPS: 3.4 | Head: Looking at Screen | Eyes: Eyes Moving | Objects: person (0.90), person (0.62), chair (0.51) | Alerts: None
